event_id,occurred_at,workspace_id,thread_id,trace_id,actor,event_kind,phase,payload,confidence,risk,path,verdict,latency_ms,token_count
631086d3-c94f-4f91-b627-24b7e5b079e2,2026-01-19 14:45:19.007025+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,model,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
097296b2-292d-4a7a-ae11-f9805cb3aed5,2026-01-19 14:45:30.307515+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,model,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
076ce241-45e8-4157-9519-0548ff8d8e8c,2026-01-19 14:49:41.519591+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,model,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
5c80cb69-e86f-4b6e-86a3-210e06970c0f,2026-01-19 14:49:52.640488+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,model,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
530b8280-fe99-45bf-b575-3cbe7e658a93,2026-01-19 14:50:11.855578+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,model,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
19b91fdb-2db0-438f-8c67-064e93775f6f,2026-01-19 14:50:16.152611+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,model,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
ecf02fe9-36c6-4144-a122-900d2cf7f123,2026-01-19 14:50:39.475051+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,model,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
bc705975-b6cd-4ec0-a901-5af0815729b9,2026-01-19 14:50:53.97909+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,model,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
085af807-a53e-4964-8017-889487a7e218,2026-01-19 15:35:43.146235+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,model,execution,execution,"{""mode"": ""DEEP"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 4048}",,,,,,
283dfd79-ae1a-405c-9664-2480fc2c975b,2026-01-19 15:35:55.31891+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,model,execution,execution,"{""mode"": ""DEEP"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 4048}",,,,,,
ad89dcb7-85c2-4812-8e29-b713c7529db3,2026-01-19 15:36:10.845099+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,model,execution,execution,"{""mode"": ""DEEP"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 4048}",,,,,,
ea270546-9add-4bf8-80ed-c81b47f65920,2026-01-19 16:10:12.639427+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,758,2726bd55-5ca8-449e-b606-2c2e74013a6c,YUA,decision,decision,"{""anchors"": [""REFINE_INPUT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",0.6,,NORMAL,APPROVE,,
2e8d640f-1b1a-43f3-9a65-86979b109aae,2026-01-19 16:10:13.726148+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
eecab53c-0694-42f3-85fa-fc7a264dfd52,2026-01-19 16:10:24.913569+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
592761d1-7e86-4a64-8f39-866d2ec1b6f7,2026-01-19 16:10:26.825617+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,758,2726bd55-5ca8-449e-b606-2c2e74013a6c,YUA,execution,execution,"{""mode"": ""NORMAL"", ""stage"": ""generation_done"", ""outmode"": ""NORMAL"", ""answerLength"": 2255}",,,,,,
19463f97-777f-4fb7-9de0-22d2f16f5895,2026-01-19 16:10:36.418956+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,dad718ba-e576-4b4b-853c-6ba1fedcedec,YUA,decision,decision,"{""anchors"": [""REFINE_INPUT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",0.6,,NORMAL,APPROVE,,
97f9f60f-2b46-437f-a964-2120494d15f0,2026-01-19 16:10:36.735612+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
cd151cc3-1cee-49f3-8f09-462f32ea06f1,2026-01-19 16:10:39.502366+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
93155262-3311-4255-8a39-b31830c1f022,2026-01-19 16:10:49.437856+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,dad718ba-e576-4b4b-853c-6ba1fedcedec,YUA,execution,execution,"{""mode"": ""NORMAL"", ""stage"": ""generation_done"", ""outmode"": ""NORMAL"", ""answerLength"": 957}",,,,,,
78cdbfaf-ecdc-452e-a930-3aeac6f545b1,2026-01-19 16:11:00.179835+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,1eb21115-adac-4374-a5a9-1ae7c39260f4,YUA,decision,decision,"{""anchors"": [""EXPAND_SCOPE""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""low""}",0.71,,NORMAL,APPROVE,,
5b3c8b1f-2d6a-4f6f-9902-667141cd52a2,2026-01-19 16:11:00.229022+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""DEEP"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 4048}",,,,,,
f5803fe5-7739-48f3-8a03-5b4bf4ad73d4,2026-01-19 16:11:15.864729+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""DEEP"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 4048}",,,,,,
40c955ea-6a1a-4d6d-9afe-eecfcca7f7f2,2026-01-19 16:11:27.931229+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""DEEP"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 4048}",,,,,,
90cb0488-8a36-4a27-8039-d3111f7afb1d,2026-01-19 16:11:37.001642+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""DEEP"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 4048}",,,,,,
1073ad49-f7e0-4554-9d33-9f1c730b4f94,2026-01-19 16:11:47.510958+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""DEEP"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 4048}",,,,,,
97fc448b-b38e-4ece-b92b-5f7caf897eaa,2026-01-19 16:11:55.934586+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,1eb21115-adac-4374-a5a9-1ae7c39260f4,YUA,execution,execution,"{""mode"": ""DEEP"", ""stage"": ""generation_done"", ""outmode"": ""NORMAL"", ""answerLength"": 7202}",,,,,,
ed8a0647-454e-4771-8039-f31b9324f122,2026-01-19 16:32:54.766338+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,443a0043-0893-497f-8f30-148cda901862,USER,message,chat,"{""ip"": ""116.46.99.35"", ""stage"": ""user_prompt"", ""stream"": true, ""messageLength"": 1276}",,,,,,
ae82a193-5bda-4570-9fb4-ad160c4274c2,2026-01-19 16:32:54.792608+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,443a0043-0893-497f-8f30-148cda901862,YUA,decision,decision,"{""anchors"": [""IMPLEMENT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",1,,NORMAL,APPROVE,,
a2ce37e8-9661-4749-a597-7e3c6e1aa94f,2026-01-19 16:32:55.296551+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""DEEP"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 4048}",,,,,,
bf41810f-72e7-496c-8117-6e639821ed6b,2026-01-19 16:33:03.530447+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""DEEP"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 4048}",,,,,,
b885b18e-a6a0-45d7-808b-34f7bb6e3aeb,2026-01-19 16:33:10.529345+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""DEEP"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 4048}",,,,,,
42380891-7d92-44ca-905c-f655436cf3df,2026-01-19 16:33:14.616313+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,443a0043-0893-497f-8f30-148cda901862,YUA,execution,execution,"{""mode"": ""DEEP"", ""stage"": ""generation_done"", ""outmode"": ""NORMAL"", ""answerLength"": 2108}",,,,,,
5be6f0f4-53ea-4a10-a530-24ce88b96d82,2026-01-19 16:35:04.920377+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,b57d2212-4bed-4a2f-a9fa-cca9758ecda3,USER,message,chat,"{""ip"": ""116.46.99.35"", ""stage"": ""user_prompt"", ""stream"": true, ""messageLength"": 1954}",,,,,,
42e90237-7c88-451d-982d-01b94a38d483,2026-01-19 16:35:04.936895+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,b57d2212-4bed-4a2f-a9fa-cca9758ecda3,YUA,decision,decision,"{""anchors"": [""REFINE_INPUT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",0.55,,NORMAL,APPROVE,,
fe70ff75-511d-484c-9122-9a5ca69a3af7,2026-01-19 16:35:05.265922+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
60927e19-f393-4099-bea9-910c24cd12c4,2026-01-19 16:35:11.009285+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
c8c8aad9-5fde-42fc-8b80-36e150b72ada,2026-01-19 16:35:12.87348+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,b57d2212-4bed-4a2f-a9fa-cca9758ecda3,YUA,execution,execution,"{""mode"": ""NORMAL"", ""stage"": ""generation_done"", ""outmode"": ""NORMAL"", ""answerLength"": 1193}",,,,,,
54ede65d-43fa-4fde-b673-5b888181b7a3,2026-01-19 16:35:37.751235+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,66951a95-1d54-414c-bd52-7e8ace4a33fe,USER,message,chat,"{""ip"": ""116.46.99.35"", ""stage"": ""user_prompt"", ""stream"": true, ""messageLength"": 1780}",,,,,,
3a608348-e37e-4720-a213-969fbefcfcf8,2026-01-19 16:35:37.766778+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,66951a95-1d54-414c-bd52-7e8ace4a33fe,YUA,decision,decision,"{""anchors"": [""REFINE_INPUT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",0.55,,NORMAL,APPROVE,,
3d2dbf16-d1eb-465e-b1a6-ff943dbe09ad,2026-01-19 16:35:38.08324+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
43f5981d-17ba-4169-8072-93b288ff3f33,2026-01-19 16:35:44.993392+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
60bff79a-28aa-4a5d-b9cb-0aa412e7236f,2026-01-19 16:35:52.43229+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,66951a95-1d54-414c-bd52-7e8ace4a33fe,YUA,execution,execution,"{""mode"": ""NORMAL"", ""stage"": ""generation_done"", ""outmode"": ""NORMAL"", ""answerLength"": 2155}",,,,,,
65b9447b-aaa4-42db-97e3-b0cfc016409c,2026-01-19 16:36:25.276014+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,b885c418-e65e-4b6d-aa42-68546b85f6ec,USER,message,chat,"{""ip"": ""116.46.99.35"", ""stage"": ""user_prompt"", ""stream"": true, ""messageLength"": 1233}",,,,,,
21e7e3f4-a025-4527-980a-4979151234b4,2026-01-19 16:36:25.291654+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,b885c418-e65e-4b6d-aa42-68546b85f6ec,YUA,decision,decision,"{""anchors"": [""REFINE_INPUT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",0.55,,NORMAL,APPROVE,,
08dcfce3-d4e0-4548-9d8d-0204c466c6b5,2026-01-19 16:36:25.591238+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
7df61027-4848-4bb6-b3be-0c98998b2bcb,2026-01-19 16:36:35.551409+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,,unknown,MODEL,execution,execution,"{""mode"": ""NORMAL"", ""model"": ""yua-pro"", ""stage"": ""model_call"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
91ffde3c-5db1-484d-a1fc-217220164a7c,2026-01-19 16:36:37.203772+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,b885c418-e65e-4b6d-aa42-68546b85f6ec,YUA,execution,execution,"{""mode"": ""NORMAL"", ""stage"": ""generation_done"", ""outmode"": ""NORMAL"", ""answerLength"": 1594}",,,,,,
4e05f0f7-e6af-4a74-9cf8-999a10957c28,2026-01-19 16:44:30.220905+09,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,b838ea50-4930-438c-9820-d4c7062aa4a0,USER,message,chat,"{""ip"": ""116.46.99.35"", ""stage"": ""user_prompt"", ""stream"": true, ""messageLength"": 3012}",,,,,,
