id,occurred_at,trace_id,thread_id,path,phase,failure_kind,confidence_before,confidence_after,risk_snapshot,surface_key,related_payload
1,2026-01-25 04:52:49.513384+09,e6eb7b2e-a9f0-4d9e-a163-1d5edbe8db1f,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: Traceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    from solver.dispatcher import dispatch\nModuleNotFoundError: No module named 'solver'\n""}"
2,2026-01-25 04:53:55.829042+09,72883ce1-faf1-4127-b152-ac95d574a473,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: Traceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    from solver.dispatcher import dispatch\nModuleNotFoundError: No module named 'solver'\n""}"
3,2026-01-25 05:05:33.876542+09,633c26da-77cc-4212-a5d6-a269c7434e96,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: Traceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    from solver.dispatcher import dispatch\nModuleNotFoundError: No module named 'solver'\n""}"
4,2026-01-25 05:06:18.089459+09,73bfa837-d9cf-410e-81ef-a1a8069710f2,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: Traceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    from solver.dispatcher import dispatch\nModuleNotFoundError: No module named 'solver'\n""}"
5,2026-01-25 05:18:12.241191+09,f8f655a7-2d2d-460f-a3a3-c84a57ebd6a8,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
6,2026-01-25 05:37:22.918144+09,169f1699-fcaf-4847-ae88-6ef84d67ab3c,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
7,2026-01-25 05:40:49.640904+09,259d939b-6af1-4b7f-8de8-515a07227074,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
8,2026-01-25 05:47:32.651582+09,38a3569f-d00c-4c79-bee6-07baa3d9a288,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
9,2026-01-25 06:19:42.575839+09,a1f7cf58-00e1-438e-a87f-7d175baa2ae6,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
10,2026-01-25 06:47:32.069021+09,6a55d218-f1b6-4d72-a652-3475e81a83cc,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
11,2026-01-25 08:02:07.703943+09,f15b0c4a-5585-4982-b30f-2ac678d84de7,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
12,2026-01-25 17:41:24.485173+09,dcfb3a77-24d0-4ba3-b08d-302d6e674a64,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
13,2026-01-25 17:42:45.032051+09,ccba825c-eebd-476f-8827-37cb8e1c45be,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
14,2026-01-25 17:47:01.979242+09,bce6f799-1f9a-4365-9d3a-8671fac3b753,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
