event_id,trace_id,thread_id,occurred_at,actor,phase,payload,latency_ms,token_count,confidence,risk,path,verdict
48934cec-28b1-435c-b453-e15caf4692e3,b67b0ab4-524d-489d-9814-df5d22e42911,754,2026-01-15 11:20:40.84173+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 2588}",,,,,,
7d6c4bd2-d244-4b8c-bce5-3f49a9f853a4,b67b0ab4-524d-489d-9814-df5d22e42911,754,2026-01-15 11:20:42.206126+09,YUA,decision,"{""anchors"": [""REFINE_INPUT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",,,0.6,,NORMAL,APPROVE
88ba7549-9602-47ca-87b6-936fa771495c,unknown,,2026-01-15 11:20:42.25951+09,MODEL,generation,"{""model"": ""yua-4.1-mini"", ""stream"": false, ""maxOutputTokens"": 512}",,,,,,
5ae804ff-fbf3-44ae-a554-b6f85a1fcbd2,unknown,,2026-01-15 11:20:43.917478+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
8c1f7ad9-3493-442d-bb35-32b205ce8766,unknown,,2026-01-15 11:20:52.385369+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
7a45be1c-3254-4150-985d-8d94f2edf3d0,b67b0ab4-524d-489d-9814-df5d22e42911,754,2026-01-15 11:21:01.225443+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 896}",,,,,,
03127618-0d90-44b0-b175-37aa9945aa5b,4bb8fad7-2c55-4ac3-8e78-86060bfd01ac,754,2026-01-15 11:21:27.983626+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 36}",,,,,,
281c42ab-d7c0-446a-ae62-bbfb64f00267,4bb8fad7-2c55-4ac3-8e78-86060bfd01ac,754,2026-01-15 11:21:28.012076+09,YUA,decision,"{""anchors"": [""REFINE_INPUT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""low""}",,,0.37,,NORMAL,APPROVE
235495ed-5c17-4702-b1ea-c4081830a20c,unknown,,2026-01-15 11:21:28.3266+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
018b011c-b348-4b00-885e-df10603cca32,unknown,,2026-01-15 11:21:33.241851+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
bf80edf1-bb0a-45f6-9aa7-07b6c5078b83,4bb8fad7-2c55-4ac3-8e78-86060bfd01ac,754,2026-01-15 11:21:41.587563+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 663}",,,,,,
d93da7d2-345b-4148-abe4-46e20edde1e1,84b80d3d-2ef2-45ec-a03e-9ddca1926f96,754,2026-01-15 11:22:03.142186+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 905}",,,,,,
1b1a5bd8-637b-4f2e-b38c-acc4ee4b4f1d,84b80d3d-2ef2-45ec-a03e-9ddca1926f96,754,2026-01-15 11:22:03.719198+09,YUA,decision,"{""anchors"": [""NEXT_STEP""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",,,1,,NORMAL,APPROVE
46d3fc0a-f37c-4e52-b5bb-6135083735af,unknown,,2026-01-15 11:22:04.046628+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
