id,thread_id,trace_id,intent,user_stage,confidence,suggestions,created_at
1,108,trace-missing,design,confused,0.42,"{""meta"": {""engine"": ""continuation"", ""anchorCount"": 3, ""confidenceBand"": ""low""}, ""suggestions"": [{""id"": ""refine-input"", ""meta"": {""reasoning"": {""anchor"": ""REFINE_INPUT"", ""confidence"": 0.42}, ""transition"": {""note"": ""soft"", ""nextStage"": ""clarifying"", ""boostConfidence"": 0.05}}, ""label"": ""조금만 더 조건을 정리해보면 훨씬 정확해질 것 같아."", ""action"": ""REFINE_INPUT"", ""priority"": ""NORMAL""}, {""id"": ""verify-logic"", ""meta"": {""reasoning"": {""anchor"": ""VERIFY_LOGIC"", ""confidence"": 0.42}, ""transition"": {""note"": ""strong"", ""nextIntent"": ""debug"", ""boostConfidence"": 0.06}}, ""label"": ""논리적으로 빠진 부분이 없는지 확인해보자."", ""action"": ""REQUEST_INFO"", ""priority"": ""NORMAL""}, {""id"": ""next-step"", ""meta"": {""reasoning"": {""anchor"": ""NEXT_STEP"", ""confidence"": 0.42}, ""transition"": {""note"": ""soft"", ""boostConfidence"": 0.03}}, ""label"": ""무리하지 말고, 다음 단계로 천천히 이어가볼까?"", ""action"": ""CHOOSE_PATH"", ""priority"": ""NORMAL""}]}",2025-12-26 12:12:37.608315
2,108,trace-missing,execute,confused,0.49,"{""meta"": {""engine"": ""continuation"", ""anchorCount"": 3, ""confidenceBand"": ""mid""}, ""suggestions"": [{""id"": ""refine-input"", ""meta"": {""reasoning"": {""anchor"": ""REFINE_INPUT"", ""confidence"": 0.49}, ""transition"": {""note"": ""soft"", ""nextStage"": ""clarifying"", ""boostConfidence"": 0.05}}, ""label"": ""조금만 더 조건을 정리해보면 훨씬 정확해질 것 같아."", ""action"": ""REFINE_INPUT"", ""priority"": ""HIGH""}, {""id"": ""verify-logic"", ""meta"": {""reasoning"": {""anchor"": ""VERIFY_LOGIC"", ""confidence"": 0.49}, ""transition"": {""note"": ""strong"", ""nextIntent"": ""debug"", ""boostConfidence"": 0.06}}, ""label"": ""논리적으로 빠진 부분이 없는지 확인해보자."", ""action"": ""REQUEST_INFO"", ""priority"": ""HIGH""}, {""id"": ""next-step"", ""meta"": {""reasoning"": {""anchor"": ""NEXT_STEP"", ""confidence"": 0.49}, ""transition"": {""note"": ""soft"", ""boostConfidence"": 0.03}}, ""label"": ""무리하지 말고, 다음 단계로 천천히 이어가볼까?"", ""action"": ""CHOOSE_PATH"", ""priority"": ""NORMAL""}]}",2025-12-26 12:13:08.395697
3,108,trace-missing,execute,confused,0.46,"{""meta"": {""engine"": ""continuation"", ""anchorCount"": 3, ""confidenceBand"": ""mid""}, ""suggestions"": [{""id"": ""refine-input"", ""meta"": {""reasoning"": {""anchor"": ""REFINE_INPUT"", ""confidence"": 0.46}, ""transition"": {""note"": ""soft"", ""nextStage"": ""clarifying"", ""boostConfidence"": 0.05}}, ""label"": ""조금만 더 조건을 정리해보면 훨씬 정확해질 것 같아."", ""action"": ""REFINE_INPUT"", ""priority"": ""HIGH""}, {""id"": ""verify-logic"", ""meta"": {""reasoning"": {""anchor"": ""VERIFY_LOGIC"", ""confidence"": 0.46}, ""transition"": {""note"": ""strong"", ""nextIntent"": ""debug"", ""boostConfidence"": 0.06}}, ""label"": ""논리적으로 빠진 부분이 없는지 확인해보자."", ""action"": ""REQUEST_INFO"", ""priority"": ""HIGH""}, {""id"": ""next-step"", ""meta"": {""reasoning"": {""anchor"": ""NEXT_STEP"", ""confidence"": 0.46}, ""transition"": {""note"": ""soft"", ""boostConfidence"": 0.03}}, ""label"": ""무리하지 말고, 다음 단계로 천천히 이어가볼까?"", ""action"": ""CHOOSE_PATH"", ""priority"": ""NORMAL""}]}",2025-12-26 12:13:35.517935
4,108,trace-missing,design,confused,0.42,"{""meta"": {""engine"": ""continuation"", ""anchorCount"": 3, ""confidenceBand"": ""low""}, ""suggestions"": [{""id"": ""refine-input"", ""meta"": {""reasoning"": {""anchor"": ""REFINE_INPUT"", ""confidence"": 0.42}, ""transition"": {""note"": ""soft"", ""nextStage"": ""clarifying"", ""boostConfidence"": 0.05}}, ""label"": ""조금만 더 조건을 정리해보면 훨씬 정확해질 것 같아."", ""action"": ""REFINE_INPUT"", ""priority"": ""NORMAL""}, {""id"": ""verify-logic"", ""meta"": {""reasoning"": {""anchor"": ""VERIFY_LOGIC"", ""confidence"": 0.42}, ""transition"": {""note"": ""strong"", ""nextIntent"": ""debug"", ""boostConfidence"": 0.06}}, ""label"": ""논리적으로 빠진 부분이 없는지 확인해보자."", ""action"": ""REQUEST_INFO"", ""priority"": ""NORMAL""}, {""id"": ""next-step"", ""meta"": {""reasoning"": {""anchor"": ""NEXT_STEP"", ""confidence"": 0.42}, ""transition"": {""note"": ""soft"", ""boostConfidence"": 0.03}}, ""label"": ""무리하지 말고, 다음 단계로 천천히 이어가볼까?"", ""action"": ""CHOOSE_PATH"", ""priority"": ""NORMAL""}]}",2025-12-26 12:22:43.736186
5,108,trace-missing,design,confused,0.42,"{""meta"": {""engine"": ""continuation"", ""anchorCount"": 3, ""confidenceBand"": ""low""}, ""suggestions"": [{""id"": ""refine-input"", ""meta"": {""reasoning"": {""anchor"": ""REFINE_INPUT"", ""confidence"": 0.42}, ""transition"": {""note"": ""soft"", ""nextStage"": ""clarifying"", ""boostConfidence"": 0.05}}, ""label"": ""조금만 더 조건을 정리해보면 훨씬 정확해질 것 같아."", ""action"": ""REFINE_INPUT"", ""priority"": ""NORMAL""}, {""id"": ""verify-logic"", ""meta"": {""reasoning"": {""anchor"": ""VERIFY_LOGIC"", ""confidence"": 0.42}, ""transition"": {""note"": ""strong"", ""nextIntent"": ""debug"", ""boostConfidence"": 0.06}}, ""label"": ""논리적으로 빠진 부분이 없는지 확인해보자."", ""action"": ""REQUEST_INFO"", ""priority"": ""NORMAL""}, {""id"": ""next-step"", ""meta"": {""reasoning"": {""anchor"": ""NEXT_STEP"", ""confidence"": 0.42}, ""transition"": {""note"": ""soft"", ""boostConfidence"": 0.03}}, ""label"": ""무리하지 말고, 다음 단계로 천천히 이어가볼까?"", ""action"": ""CHOOSE_PATH"", ""priority"": ""NORMAL""}]}",2025-12-26 12:46:49.608759
6,108,trace-missing,design,confused,0.51,"{""meta"": {""engine"": ""continuation"", ""anchorCount"": 3, ""confidenceBand"": ""mid""}, ""suggestions"": [{""id"": ""refine-input"", ""meta"": {""reasoning"": {""anchor"": ""REFINE_INPUT"", ""confidence"": 0.51}, ""transition"": {""note"": ""soft"", ""nextStage"": ""clarifying"", ""boostConfidence"": 0.05}}, ""label"": ""조금만 더 조건을 정리해보면 훨씬 정확해질 것 같아."", ""action"": ""REFINE_INPUT"", ""priority"": ""HIGH""}, {""id"": ""verify-logic"", ""meta"": {""reasoning"": {""anchor"": ""VERIFY_LOGIC"", ""confidence"": 0.51}, ""transition"": {""note"": ""strong"", ""nextIntent"": ""debug"", ""boostConfidence"": 0.06}}, ""label"": ""논리적으로 빠진 부분이 없는지 확인해보자."", ""action"": ""REQUEST_INFO"", ""priority"": ""HIGH""}, {""id"": ""next-step"", ""meta"": {""reasoning"": {""anchor"": ""NEXT_STEP"", ""confidence"": 0.51}, ""transition"": {""note"": ""soft"", ""boostConfidence"": 0.03}}, ""label"": ""무리하지 말고, 다음 단계로 천천히 이어가볼까?"", ""action"": ""CHOOSE_PATH"", ""priority"": ""NORMAL""}]}",2025-12-26 12:52:37.654292
7,108,trace-missing,execute,confused,0.43,"{""meta"": {""engine"": ""continuation"", ""anchorCount"": 3, ""confidenceBand"": ""low""}, ""suggestions"": [{""id"": ""refine-input"", ""meta"": {""reasoning"": {""anchor"": ""REFINE_INPUT"", ""confidence"": 0.43}, ""transition"": {""note"": ""soft"", ""nextStage"": ""clarifying"", ""boostConfidence"": 0.05}}, ""label"": ""조금만 더 조건을 정리해보면 훨씬 정확해질 것 같아."", ""action"": ""REFINE_INPUT"", ""priority"": ""NORMAL""}, {""id"": ""verify-logic"", ""meta"": {""reasoning"": {""anchor"": ""VERIFY_LOGIC"", ""confidence"": 0.43}, ""transition"": {""note"": ""strong"", ""nextIntent"": ""debug"", ""boostConfidence"": 0.06}}, ""label"": ""논리적으로 빠진 부분이 없는지 확인해보자."", ""action"": ""REQUEST_INFO"", ""priority"": ""NORMAL""}, {""id"": ""next-step"", ""meta"": {""reasoning"": {""anchor"": ""NEXT_STEP"", ""confidence"": 0.43}, ""transition"": {""note"": ""soft"", ""boostConfidence"": 0.03}}, ""label"": ""무리하지 말고, 다음 단계로 천천히 이어가볼까?"", ""action"": ""CHOOSE_PATH"", ""priority"": ""NORMAL""}]}",2025-12-26 12:53:22.417068
8,108,trace-missing,execute,confused,0.44,"{""meta"": {""engine"": ""continuation"", ""anchorCount"": 3, ""confidenceBand"": ""low""}, ""suggestions"": [{""id"": ""refine-input"", ""meta"": {""reasoning"": {""anchor"": ""REFINE_INPUT"", ""confidence"": 0.44}, ""transition"": {""note"": ""soft"", ""nextStage"": ""clarifying"", ""boostConfidence"": 0.05}}, ""label"": ""조금만 더 조건을 정리해보면 훨씬 정확해질 것 같아."", ""action"": ""REFINE_INPUT"", ""priority"": ""NORMAL""}, {""id"": ""verify-logic"", ""meta"": {""reasoning"": {""anchor"": ""VERIFY_LOGIC"", ""confidence"": 0.44}, ""transition"": {""note"": ""strong"", ""nextIntent"": ""debug"", ""boostConfidence"": 0.06}}, ""label"": ""논리적으로 빠진 부분이 없는지 확인해보자."", ""action"": ""REQUEST_INFO"", ""priority"": ""NORMAL""}, {""id"": ""next-step"", ""meta"": {""reasoning"": {""anchor"": ""NEXT_STEP"", ""confidence"": 0.44}, ""transition"": {""note"": ""soft"", ""boostConfidence"": 0.03}}, ""label"": ""무리하지 말고, 다음 단계로 천천히 이어가볼까?"", ""action"": ""CHOOSE_PATH"", ""priority"": ""NORMAL""}]}",2025-12-26 12:53:42.805316
9,108,trace-missing,execute,confused,0.44,"{""meta"": {""engine"": ""continuation"", ""anchorCount"": 3, ""confidenceBand"": ""low""}, ""suggestions"": [{""id"": ""refine-input"", ""meta"": {""reasoning"": {""anchor"": ""REFINE_INPUT"", ""confidence"": 0.44}, ""transition"": {""note"": ""soft"", ""nextStage"": ""clarifying"", ""boostConfidence"": 0.05}}, ""label"": ""조금만 더 조건을 정리해보면 훨씬 정확해질 것 같아."", ""action"": ""REFINE_INPUT"", ""priority"": ""NORMAL""}, {""id"": ""verify-logic"", ""meta"": {""reasoning"": {""anchor"": ""VERIFY_LOGIC"", ""confidence"": 0.44}, ""transition"": {""note"": ""strong"", ""nextIntent"": ""debug"", ""boostConfidence"": 0.06}}, ""label"": ""논리적으로 빠진 부분이 없는지 확인해보자."", ""action"": ""REQUEST_INFO"", ""priority"": ""NORMAL""}, {""id"": ""next-step"", ""meta"": {""reasoning"": {""anchor"": ""NEXT_STEP"", ""confidence"": 0.44}, ""transition"": {""note"": ""soft"", ""boostConfidence"": 0.03}}, ""label"": ""무리하지 말고, 다음 단계로 천천히 이어가볼까?"", ""action"": ""CHOOSE_PATH"", ""priority"": ""NORMAL""}]}",2025-12-26 13:06:13.888955
10,108,trace-missing,execute,confused,0.44,"{""meta"": {""engine"": ""continuation"", ""anchorCount"": 3, ""confidenceBand"": ""low""}, ""suggestions"": [{""id"": ""refine-input"", ""meta"": {""reasoning"": {""anchor"": ""REFINE_INPUT"", ""confidence"": 0.44}, ""transition"": {""note"": ""soft"", ""nextStage"": ""clarifying"", ""boostConfidence"": 0.05}}, ""label"": ""조금만 더 조건을 정리해보면 훨씬 정확해질 것 같아."", ""action"": ""REFINE_INPUT"", ""priority"": ""NORMAL""}, {""id"": ""verify-logic"", ""meta"": {""reasoning"": {""anchor"": ""VERIFY_LOGIC"", ""confidence"": 0.44}, ""transition"": {""note"": ""strong"", ""nextIntent"": ""debug"", ""boostConfidence"": 0.06}}, ""label"": ""논리적으로 빠진 부분이 없는지 확인해보자."", ""action"": ""REQUEST_INFO"", ""priority"": ""NORMAL""}, {""id"": ""next-step"", ""meta"": {""reasoning"": {""anchor"": ""NEXT_STEP"", ""confidence"": 0.44}, ""transition"": {""note"": ""soft"", ""boostConfidence"": 0.03}}, ""label"": ""무리하지 말고, 다음 단계로 천천히 이어가볼까?"", ""action"": ""CHOOSE_PATH"", ""priority"": ""NORMAL""}]}",2025-12-26 13:06:24.950492
